id,description,icd
469,HIV DISEASE RESULTING IN ENCEPHALOPATHY,469
470,HIV DISEASE RESULTING IN LYMPHOID INTERSTITIAL PNEUMONITIS,470
471,HIV DISEASE RESULTING IN WASTING SYNDROME,471
472,HIV DISEASE RESULTING IN MULTIPLE DISEASES CLASSIFIED ELSEWHERE,472
473,ACUTE HIV INFECTION SYNDROME,473
474,HIV DISEASE RESULTING IN PERSISTENT GENERALIZED LYMPHADENOPATHY,474
475,HIV DISEASE RESULTING IN HAEMATOLOGICAL AND IMMUNOLOGICAL ABNORMALITIES NOT ELSEWHERE CLASSIFIED,475
476,HIV DISEASE RESULTING IN OTHER SPECIFIED CONDITIONS,476
477,UNSPECIFIED HUMAN IMMUNODEFICIENCY VIRUS HIV DISEASE,477
478,CYTOMEGALOVIRAL PNEUMONITIS,478
479,CYTOMEGALOVIRAL HEPATITIS,479
480,CYTOMEGALOVIRAL PANCREATITIS,480
481,OTHER CYTOMEGALOVIRAL DISEASES,481
482,CYTOMEGALOVIRAL DISEASE UNSPECIFIED,482
483,MUMPS ORCHITIS,483
484,MUMPS MENINGITIS,484
485,MUMPS ENCEPHALITIS,485
486,MUMPS PANCREATITIS,486
487,MUMPS WITH OTHER COMPLICATIONS,487
488,MUMPS WITHOUT COMPLICATION,488
489,GAMMAHERPESVIRAL MONONUCLEOSIS,489
490,CYTOMEGALOVIRAL MONONUCLEOSIS,490
491,OTHER INFECTIOUS MONONUCLEOSIS,491
492,INFECTIOUS MONONUCLEOSIS UNSPECIFIED,492
493,KERATOCONJUNCTIVITIS DUE TO ADENOVIRUS,493
494,CONJUNCTIVITIS DUE TO ADENOVIRUS,494
495,VIRAL PHARYNGOCONJUNCTIVITIS,495
496,ACUTE EPIDEMIC HAEMORRHAGIC CONJUNCTIVITIS ENTEROVIRAL,496
497,OTHER VIRAL CONJUNCTIVITIS,497
498,VIRAL CONJUNCTIVITIS UNSPECIFIED,498
499,EPIDEMIC MYALGIA,499
500,ROSS RIVER DISEASE,500
501,VIRAL CARDITIS,501
502,RETROVIRUS INFECTIONS NOT ELSEWHERE CLASSIFIED,502
503,HANTAVIRUS CARDIO PULMONARY SYNDROME HPS HCPS,503
504,OTHER SPECIFIED VIRAL DISEASES,504
505,ADENOVIRUS INFECTION UNSPECIFIED SITE,505
506,ENTEROVIRUS INFECTION UNSPECIFIED SITE,506
507,CORONAVIRUS INFECTION UNSPECIFIED SITE,507
508,PARVOVIRUS INFECTION UNSPECIFIED SITE,508
509,PAPOVAVIRUS INFECTION UNSPECIFIED SITE,509
510,OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE,510
511,VIRAL INFECTION UNSPECIFIED,511
512,TINEA BARBAE AND TINEA CAPITIS,512
513,TINEA UNGUIUM,513
514,TINEA MANUUM,514
515,TINEA PEDIS,515
516,TINEA CORPORIS,516
517,TINEA IMBRICATA,517
518,TINEA CRURIS,518
519,OTHER DERMATOPHYTOSES,519
520,DERMATOPHYTOSIS UNSPECIFIED,520
521,PITYRIASIS VERSICOLOR,521
522,TINEA NIGRA,522
523,WHITE PIEDRA,523
524,BLACK PIEDRA,524
525,OTHER SPECIFIED SUPERFICIAL MYCOSES,525
526,SUPERFICIAL MYCOSIS UNSPECIFIED,526
527,CANDIDAL STOMATITIS,527
528,PULMONARY CANDIDIASIS,528
529,CANDIDIASIS OF SKIN AND NAIL,529
530,CANDIDIASIS OF VULVA AND VAGINA,530
531,CANDIDIASIS OF OTHER UROGENITAL SITES,531
532,CANDIDAL MENINGITIS,532
533,CANDIDAL ENDOCARDITIS,533
534,CANDIDAL SEPTICAEMIA,534
535,CANDIDIASIS OF OTHER SITES,535
536,CANDIDIASIS UNSPECIFIED,536
537,ACUTE PULMONARY COCCIDIOIDOMYCOSIS,537
538,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS,538
539,PULMONARY COCCIDIOIDOMYCOSIS UNSPECIFIED,539
540,CUTANEOUS COCCIDIOIDOMYCOSIS,540
541,COCCIDIOIDOMYCOSIS MENINGITIS,541
542,DISSEMINATED COCCIDIOIDOMYCOSIS,542
543,OTHER FORMS OF COCCIDIOIDOMYCOSIS,543
544,COCCIDIOIDOMYCOSIS UNSPECIFIED,544
545,ACUTE PULMONARY HISTOPLASMOSIS CAPSULATI,545
546,CHRONIC PULMONARY HISTOPLASMOSIS CAPSULATI,546
547,PULMONARY HISTOPLASMOSIS CAPSULATI UNSPECIFIED,547
548,DISSEMINATED HISTOPLASMOSIS CAPSULATI,548
549,HISTOPLASMOSIS CAPSULATI UNSPECIFIED,549
550,HISTOPLASMOSIS DUBOISII,550
551,HISTOPLASMOSIS UNSPECIFIED,551
552,ACUTE PULMONARY BLASTOMYCOSIS,552
553,CHRONIC PULMONARY BLASTOMYCOSIS,553
554,PULMONARY BLASTOMYCOSIS UNSPECIFIED,554
555,CUTANEOUS BLASTOMYCOSIS,555
556,DISSEMINATED BLASTOMYCOSIS,556
557,OTHER FORMS OF BLASTOMYCOSIS,557
558,BLASTOMYCOSIS UNSPECIFIED,558
559,PULMONARY PARACOCCIDIOIDOMYCOSIS,559
560,DISSEMINATED PARACOCCIDIOIDOMYCOSIS,560
561,OTHER FORMS OF PARACOCCIDIOIDOMYCOSIS,561
562,PARACOCCIDIOIDOMYCOSIS UNSPECIFIED,562
563,PULMONARY SPOROTRICHOSIS,563
564,LYMPHOCUTANEOUS SPOROTRICHOSIS,564
565,DISSEMINATED SPOROTRICHOSIS,565
566,OTHER FORMS OF SPOROTRICHOSIS,566
567,SPOROTRICHOSIS UNSPECIFIED,567
568,CUTANEOUS CHROMOMYCOSIS,568
569,PHAEOMYCOTIC BRAIN ABSCESS,569
570,SUBCUTANEOUS PHAEOMYCOTIC ABSCESS AND CYST,570
571,OTHER FORMS OF CHROMOMYCOSIS,571
572,CHROMOMYCOSIS UNSPECIFIED,572
573,INVASIVE PULMONARY ASPERGILLOSIS,573
574,OTHER PULMONARY ASPERGILLOSIS,574
575,TONSILLAR ASPERGILLOSIS,575
576,DISSEMINATED ASPERGILLOSIS,576
577,OTHER FORMS OF ASPERGILLOSIS,577
578,ASPERGILLOSIS UNSPECIFIED,578
579,PULMONARY CRYPTOCOCCOSIS,579
580,CEREBRAL CRYPTOCOCCOSIS,580
581,CUTANEOUS CRYPTOCOCCOSIS,581
582,OSSEOUS CRYPTOCOCCOSIS,582
583,DISSEMINATED CRYPTOCOCCOSIS,583
584,OTHER FORMS OF CRYPTOCOCCOSIS,584
585,CRYPTOCOCCOSIS UNSPECIFIED,585
586,PULMONARY MUCORMYCOSIS,586
587,RHINOCEREBRAL MUCORMYCOSIS,587
588,GASTROINTESTINAL MUCORMYCOSIS,588
589,CUTANEOUS MUCORMYCOSIS,589
590,DISSEMINATED MUCORMYCOSIS,590
591,MUCORMYCOSIS UNSPECIFIED,591
592,OTHER ZYGOMYCOSES,592
593,ZYGOMYCOSIS UNSPECIFIED,593
594,EUMYCETOMA,594
595,ACTINOMYCETOMA,595
596,MYCETOMA UNSPECIFIED,596
597,LOBOMYCOSIS,597
598,RHINOSPORIDIOSIS,598
599,ALLESCHERIASIS,599
600,GEOTRICHOSIS,600
601,PENICILLOSIS,601
602,OPPORTUNISTIC MYCOSES,602
603,OTHER SPECIFIED MYCOSES,603
604,UNSPECIFIED MYCOSIS,604
605,PLASMODIUM FALCIPARUM MALARIA WITH CEREBRAL COMPLICATIONS,605
606,OTHER SEVERE AND COMPLICATED PLASMODIUM FALCIPARUM MALARIA,606
607,PLASMODIUM FALCIPARUM MALARIA UNSPECIFIED,607
608,PLASMODIUM VIVAX MALARIA WITH RUPTURE OF SPLEEN,608
609,PLASMODIUM VIVAX MALARIA WITH OTHER COMPLICATIONS,609
610,PLASMODIUM VIVAX MALARIA WITHOUT COMPLICATION,610
611,PLASMODIUM MALARIAE MALARIA WITH NEPHROPATHY,611
612,PLASMODIUM MALARIAE MALARIA WITH OTHER COMPLICATIONS,612
613,PLASMODIUM MALARIAE MALARIA WITHOUT COMPLICATION,613
614,PLASMODIUM OVALE MALARIA,614
615,MALARIA DUE TO SIMIAN PLASMODIA,615
616,OTHER PARASITOLOGICALLY CONFIRMED MALARIA NOT ELSEWHERE CLASSIFIED,616
617,UNSPECIFIED MALARIA,617
618,VISCERAL LEISHMANIASIS,618
619,CUTANEOUS LEISHMANIASIS,619
620,MUCOCUTANEOUS LEISHMANIASIS,620
621,LEISHMANIASIS UNSPECIFIED,621
622,GAMBIENSE TRYPANOSOMIASIS,622
623,RHODESIENSE TRYPANOSOMIASIS,623
624,AFRICAN TRYPANOSOMIASIS UNSPECIFIED,624
625,ACUTE CHAGAS DISEASE WITH HEART INVOLVEMENT,625
626,ACUTE CHAGAS DISEASE WITHOUT HEART INVOLVEMENT,626
627,CHAGAS DISEASE CHRONIC WITH HEART INVOLVEMENT,627
628,CHAGAS DISEASE CHRONIC WITH DIGESTIVE SYSTEM INVOLVEMENT,628
629,CHAGAS DISEASE CHRONIC WITH NERVOUS SYSTEM INVOLVEMENT,629
630,CHAGAS DISEASE CHRONIC WITH OTHER ORGAN INVOLVEMENT,630
631,TOXOPLASMA OCULOPATHY,631
632,TOXOPLASMA HEPATITIS,632
633,TOXOPLASMA MENINGOENCEPHALITIS,633
634,PULMONARY TOXOPLASMOSIS,634
635,TOXOPLASMOSIS WITH OTHER ORGAN INVOLVEMENT,635
636,TOXOPLASMOSIS UNSPECIFIED,636
637,PNEUMOCYSTOSIS,637
638,BABESIOSIS,638
639,ACANTHAMOEBIASIS,639
640,NAEGLERIASIS,640
641,OTHER SPECIFIED PROTOZOAL DISEASES,641
642,UNSPECIFIED PROTOZOAL DISEASE,642
643,SCHISTOSOMIASIS DUE TO SCHISTOSOMA HAEMATOBIUM URINARY SCHISTOSOMIASIS,643
644,SCHISTOSOMIASIS DUE TO SCHISTOSOMA MANSONI INTESTINAL SCHISTOSOMIASIS,644
645,SCHISTOSOMIASIS DUE TO SCHISTOSOMA JAPONICUM,645
646,CERCARIAL DERMATITIS,646
647,OTHER SCHISTOSOMIASES,647
648,SCHISTOSOMIASIS UNSPECIFIED,648
649,OPISTHORCHIASIS,649
650,CLONORCHIASIS,650
651,DICROCOELIASIS,651
652,FASCIOLIASIS,652
653,PARAGONIMIASIS,653
654,FASCIOLOPSIASIS,654
655,OTHER SPECIFIED FLUKE INFECTIONS,655
656,FLUKE INFECTION UNSPECIFIED,656
657,ECHINOCOCCUS GRANULOSUS INFECTION OF LIVER,657
658,ECHINOCOCCUS GRANULOSUS INFECTION OF LUNG,658
659,ECHINOCOCCUS GRANULOSUS INFECTION OF BONE,659
660,ECHINOCOCCUS GRANULOSUS INFECTION OTHER AND MULTIPLE SITES,660
661,ECHINOCOCCUS GRANULOSUS INFECTION UNSPECIFIED,661
662,ECHINOCOCCUS MULTILOCULARIS INFECTION OF LIVER,662
663,ECHINOCOCCUS MULTILOCULARIS INFECTION OTHER AND MULTIPLE SITES,663
664,ECHINOCOCCUS MULTILOCULARIS INFECTION UNSPECIFIED,664
665,ECHINOCOCCOSIS UNSPECIFIED OF LIVER,665
666,ECHINOCOCCOSIS OTHER AND UNSPECIFIED,666
667,TAENIA SOLIUM TAENIASIS,667
668,TAENIA SAGINATA TAENIASIS,668
669,TAENIASIS UNSPECIFIED,669
670,CYSTICERCOSIS OF CENTRAL NERVOUS SYSTEM,670
671,CYSTICERCOSIS OF EYE,671
672,CYSTICERCOSIS OF OTHER SITES,672
673,CYSTICERCOSIS UNSPECIFIED,673
674,DIPHYLLOBOTHRIASIS,674
675,SPARGANOSIS,675
676,HYMENOLEPIASIS,676
677,DIPYLIDIASIS,677
678,OTHER SPECIFIED CESTODE INFECTIONS,678
679,CESTODE INFECTION UNSPECIFIED,679
680,DRACUNCULIASIS,680
681,ONCHOCERCIASIS,681
682,FILARIASIS DUE TO WUCHERERIA BANCROFTI,682
683,FILARIASIS DUE TO BRUGIA MALAYI,683
684,FILARIASIS DUE TO BRUGIA TIMORI,684
685,LOIASIS,685
686,MANSONELLIASIS,686
687,OTHER FILARIASES,687
688,FILARIASIS UNSPECIFIED,688
689,TRICHINELLOSIS,689
690,ANCYLOSTOMIASIS,690
691,NECATORIASIS,691
692,OTHER HOOKWORM DISEASES,692
693,HOOKWORM DISEASE UNSPECIFIED,693
694,ASCARIASIS WITH INTESTINAL COMPLICATIONS,694
695,ASCARIASIS WITH OTHER COMPLICATIONS,695
696,ASCARIASIS UNSPECIFIED,696
697,INTESTINAL STRONGYLOIDIASIS,697
698,CUTANEOUS STRONGYLOIDIASIS,698
699,DISSEMINATED STRONGYLOIDIASIS,699
700,STRONGYLOIDIASIS UNSPECIFIED,700
701,TRICHURIASIS,701
702,ENTEROBIASIS,702
703,ANISAKIASIS,703
704,INTESTINAL CAPILLARIASIS,704
705,TRICHOSTRONGYLIASIS,705
706,INTESTINAL ANGIOSTRONGYLIASIS,706
707,MIXED INTESTINAL HELMINTHIASES,707
708,OTHER SPECIFIED INTESTINAL HELMINTHIASES,708
709,INTESTINAL HELMINTHIASIS UNSPECIFIED,709
710,INTESTINAL PARASITISM UNSPECIFIED,710
711,VISCERAL LARVA MIGRANS,711
712,GNATHOSTOMIASIS,712
713,ANGIOSTRONGYLIASIS DUE TO PARASTRONGYLUS CANTONENSIS,713
714,SYNGAMIASIS,714
715,INTERNAL HIRUDINIASIS,715
716,OTHER SPECIFIED HELMINTHIASES,716
717,HELMINTHIASIS UNSPECIFIED,717
718,PEDICULOSIS DUE TO PEDICULUS HUMANUS CAPITIS,718
719,PEDICULOSIS DUE TO PEDICULUS HUMANUS CORPORIS,719
720,PEDICULOSIS UNSPECIFIED,720
721,PHTHIRIASIS,721
722,MIXED PEDICULOSIS AND PHTHIRIASIS,722
723,SCABIES,723
724,CUTANEOUS MYIASIS,724
725,WOUND MYIASIS,725
726,OCULAR MYIASIS,726
727,NASOPHARYNGEAL MYIASIS,727
728,AURAL MYIASIS,728
729,MYIASIS OF OTHER SITES,729
730,MYIASIS UNSPECIFIED,730
731,OTHER ACARIASIS,731
732,TUNGIASIS SANDFLEA INFESTATION,732
733,OTHER ARTHROPOD INFESTATIONS,733
734,EXTERNAL HIRUDINIASIS,734
735,OTHER SPECIFIED INFESTATIONS,735
736,INFESTATION UNSPECIFIED,736
737,UNSPECIFIED PARASITIC DISEASE,737
738,SEQUELAE OF CENTRAL NERVOUS SYSTEM TUBERCULOSIS,738
739,SEQUELAE OF GENITOURINARY TUBERCULOSIS,739
740,SEQUELAE OF TUBERCULOSIS OF BONES AND JOINTS,740
741,SEQUELAE OF TUBERCULOSIS OF OTHER ORGANS,741
742,SEQUELAE OF RESPIRATORY AND UNSPECIFIED TUBERCULOSIS,742
743,SEQUELAE OF POLIOMYELITIS,743
744,SEQUELAE OF LEPROSY,744
745,SEQUELAE OF TRACHOMA,745
746,SEQUELAE OF VIRAL ENCEPHALITIS,746
747,SEQUELAE OF VIRAL HEPATITIS,747
748,SEQUELAE OF OTHER SPECIFIED INFECTIOUS AND PARASITIC DISEASES,748
749,SEQUELAE OF UNSPECIFIED INFECTIOUS OR PARASITIC DISEASE,749
750,STREPTOCOCCUS GROUP A AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,750
751,STREPTOCOCCUS GROUP B AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,751
752,STREPTOCOCCUS GROUP D AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,752
753,STREPTOCOCCUS PNEUMONIAE AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,753
754,OTHER STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,754
755,UNSPECIFIED STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,755
756,STAPHYLOCOCCUS AUREUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,756
757,OTHER STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,757
758,UNSPECIFIED STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,758
759,MYCOPLASMA PNEUMONIAE M PNEUMONIAE AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,759
760,KLEBSIELLA PNEUMONIAE K PNEUMONIAE AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,760
761,ESCHERICHIA COLI E COLI AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,761
762,HAEMOPHILUS INFLUENZAE H INFLUENZAE AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,762
763,PROTEUS MIRABILIS MORGANII AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,763
764,PSEUDOMONAS AERUGINOSA MALLEI PSEUDOMALLEI AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,764
765,BACILLUS FRAGILIS B FRAGILIS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,765
766,CLOSTRIDIUM PERFRINGENS C PERFRINGENS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,766
767,OTHER SPECIFIED BACTERIAL AGENTS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,767
768,ADENOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,768
769,ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,769
770,CORONAVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,507
771,RETROVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,771
772,RESPIRATORY SYNCYTIAL VIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,772
773,REOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,773
774,PARVOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,774
775,PAPILLOMAVIRUS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,775
776,OTHER VIRAL AGENTS AS THE CAUSE OF DISEASES CLASSIFIED TO OTHER CHAPTERS,776
777,OTHER AND UNSPECIFIED INFECTIOUS DISEASES,777
778,MALIGNANT NEOPLASM EXTERNAL UPPER LIP,778
779,MALIGNANT NEOPLASM EXTERNAL LOWER LIP,779
780,MALIGNANT NEOPLASM EXTERNAL LIP UNSPECIFIED,780
781,MALIGNANT NEOPLASM UPPER LIP INNER ASPECT,781
782,MALIGNANT NEOPLASM LOWER LIP INNER ASPECT,782
783,MALIGNANT NEOPLASM LIP UNSPECIFIED INNER ASPECT,783
784,MALIGNANT NEOPLASM COMMISSURE OF LIP,784
785,MALIGNANT NEOPLASM OVERLAPPING LESION OF LIP,785
786,MALIGNANT NEOPLASM LIP UNSPECIFIED,786
787,MALIGNANT NEOPLASM OF BASE OF TONGUE,787
788,MALIGNANT NEOPLASM DORSAL SURFACE OF TONGUE,788
789,MALIGNANT NEOPLASM BORDER OF TONGUE,789
790,MALIGNANT NEOPLASM VENTRAL SURFACE OF TONGUE,790
791,MALIGNANT NEOPLASM ANTERIOR TWO THIRDS OF TONGUE PART UNSPECIFIED,791
792,MALIGNANT NEOPLASM LINGUAL TONSIL,792
793,MALIGNANT NEOPLASM OVERLAPPING LESION OF TONGUE,793
794,MALIGNANT NEOPLASM TONGUE UNSPECIFIED,794
795,MALIGNANT NEOPLASM UPPER GUM,795
796,MALIGNANT NEOPLASM LOWER GUM,796
797,MALIGNANT NEOPLASM GUM UNSPECIFIED,797
798,MALIGNANT NEOPLASM ANTERIOR FLOOR OF MOUTH,798
799,MALIGNANT NEOPLASM LATERAL FLOOR OF MOUTH,799
800,MALIGNANT NEOPLASM OVERLAPPING LESION OF FLOOR OF MOUTH,800
801,MALIGNANT NEOPLASM FLOOR OF MOUTH UNSPECIFIED,801
802,MALIGNANT NEOPLASM HARD PALATE,802
803,MALIGNANT NEOPLASM SOFT PALATE,803
804,MALIGNANT NEOPLASM UVULA,804
805,MALIGNANT NEOPLASM OVERLAPPING LESION OF PALATE,805
806,MALIGNANT NEOPLASM PALATE UNSPECIFIED,806
807,MALIGNANT NEOPLASM CHEEK MUCOSA,807
808,MALIGNANT NEOPLASM VESTIBULE OF MOUTH,808
809,MALIGNANT NEOPLASM RETROMOLAR AREA,809
810,MALIGNANT NEOPLASM OVERLAPPING LESION OF OTHER AND UNSPECIFIED PARTS OF MOUTH,810
811,MALIGNANT NEOPLASM MOUTH UNSPECIFIED,811
812,MALIGNANT NEOPLASM OF PAROTID GLAND,812
813,MALIGNANT NEOPLASM SUBMANDIBULAR GLAND,813
814,MALIGNANT NEOPLASM SUBLINGUAL GLAND,814
815,MALIGNANT NEOPLASM OVERLAPPING LESION OF MAJOR SALIVARY GLANDS,815
816,MALIGNANT NEOPLASM MAJOR SALIVARY GLAND UNSPECIFIED,816
817,MALIGNANT NEOPLASM TONSILLAR FOSSA,817
818,MALIGNANT NEOPLASM TONSILLAR PILLAR ANTERIOR POSTERIOR,818
819,MALIGNANT NEOPLASM OVERLAPPING LESION OF TONSIL,819
820,MALIGNANT NEOPLASM TONSIL UNSPECIFIED,820
821,MALIGNANT NEOPLASM VALLECULA,821
822,MALIGNANT NEOPLASM ANTERIOR SURFACE OF EPIGLOTTIS,822
823,MALIGNANT NEOPLASM LATERAL WALL OF OROPHARYNX,823
824,MALIGNANT NEOPLASM POSTERIOR WALL OF OROPHARYNX,824
825,MALIGNANT NEOPLASM BRANCHIAL CLEFT,825
826,MALIGNANT NEOPLASM OVERLAPPING LESION OF OROPHARYNX,826
827,MALIGNANT NEOPLASM OROPHARYNX UNSPECIFIED,827
828,MALIGNANT NEOPLASM SUPERIOR WALL OF NASOPHARYNX,828
829,MALIGNANT NEOPLASM POSTERIOR WALL OF NASOPHARYNX,829
830,MALIGNANT NEOPLASM LATERAL WALL OF NASOPHARYNX,830
831,MALIGNANT NEOPLASM ANTERIOR WALL OF NASOPHARYNX,831
832,MALIGNANT NEOPLASM OVERLAPPING LESION OF NASOPHARYNX,832
833,MALIGNANT NEOPLASM NASOPHARYNX UNSPECIFIED,833
834,MALIGNANT NEOPLASM OF PIRIFORM SINUS,834
835,MALIGNANT NEOPLASM POSTCRICOID REGION,835
836,MALIGNANT NEOPLASM ARYEPIGLOTTIC FOLD HYPOPHARYNGEAL ASPECT,836
837,MALIGNANT NEOPLASM POSTERIOR WALL OF HYPOPHARYNX,837
838,MALIGNANT NEOPLASM OVERLAPPING LESION OF HYPOPHARYNX,838
839,MALIGNANT NEOPLASM HYPOPHARYNX UNSPECIFIED,839
840,MALIGNANT NEOPLASM PHARYNX UNSPECIFIED,840
841,MALIGNANT NEOPLASM WALDEYER S RING,841
842,MALIGNANT NEOPLASM OVERLAPPING LESION OF LIP ORAL CAVITY AND PHARYNX,842
843,MALIGNANT NEOPLASM CERVICAL PART OF OESOPHAGUS,843
844,MALIGNANT NEOPLASM THORACIC PART OF OESOPHAGUS,844
845,MALIGNANT NEOPLASM ABDOMINAL PART OF OESOPHAGUS,845
846,MALIGNANT NEOPLASM UPPER THIRD OF OESOPHAGUS,846
847,MALIGNANT NEOPLASM MIDDLE THIRD OF OESOPHAGUS,847
848,MALIGNANT NEOPLASM LOWER THIRD OF OESOPHAGUS,848
849,MALIGNANT NEOPLASM OVERLAPPING LESION OF OESOPHAGUS,849
850,MALIGNANT NEOPLASM OESOPHAGUS UNSPECIFIED,850
851,MALIGNANT NEOPLASM CARDIA,851
852,MALIGNANT NEOPLASM FUNDUS OF STOMACH,852
853,MALIGNANT NEOPLASM BODY OF STOMACH,853
854,MALIGNANT NEOPLASM PYLORIC ANTRUM,854
855,MALIGNANT NEOPLASM PYLORUS,855
856,MALIGNANT NEOPLASM LESSER CURVATURE OF STOMACH UNSPECIFIED,856
857,MALIGNANT NEOPLASM GREATER CURVATURE OF STOMACH UNSPECIFIED,857
858,MALIGNANT NEOPLASM OVERLAPPING LESION OF STOMACH,858
859,MALIGNANT NEOPLASM STOMACH UNSPECIFIED,859
860,MALIGNANT NEOPLASM DUODENUM,860
861,MALIGNANT NEOPLASM JEJUNUM,861
862,MALIGNANT NEOPLASM ILEUM,862
863,MALIGNANT NEOPLASM MECKEL S DIVERTICULUM,863
864,MALIGNANT NEOPLASM OVERLAPPING LESION OF SMALL INTESTINE,864
865,MALIGNANT NEOPLASM SMALL INTESTINE UNSPECIFIED,865
866,MALIGNANT NEOPLASM CAECUM,866
867,MALIGNANT NEOPLASM APPENDIX,867
868,MALIGNANT NEOPLASM ASCENDING COLON,868
869,MALIGNANT NEOPLASM HEPATIC FLEXURE,869
870,MALIGNANT NEOPLASM TRANSVERSE COLON,870
871,MALIGNANT NEOPLASM SPLENIC FLEXURE,871
872,MALIGNANT NEOPLASM DESCENDING COLON,872
873,MALIGNANT NEOPLASM SIGMOID COLON,873
874,MALIGNANT NEOPLASM OVERLAPPING LESION OF COLON,874
875,MALIGNANT NEOPLASM COLON UNSPECIFIED,875
876,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION,876
877,MALIGNANT NEOPLASM OF RECTUM,877
878,MALIGNANT NEOPLASM ANUS UNSPECIFIED,878
879,MALIGNANT NEOPLASM ANAL CANAL,879
880,MALIGNANT NEOPLASM CLOACOGENIC ZONE,880
881,MALIGNANT NEOPLASM OVERLAPPING LESION OF RECTUM ANUS AND ANAL CANAL,881
882,MALIGNANT NEOPLASM LIVER CELL CARCINOMA,882
883,MALIGNANT NEOPLASM INTRAHEPATIC BILE DUCT CARCINOMA,883
884,MALIGNANT NEOPLASM HEPATOBLASTOMA,884
885,MALIGNANT NEOPLASM ANGIOSARCOMA OF LIVER,885
886,MALIGNANT NEOPLASM OTHER SARCOMAS OF LIVER,886
887,MALIGNANT NEOPLASM OTHER SPECIFIED CARCINOMAS OF LIVER,887
888,MALIGNANT NEOPLASM LIVER UNSPECIFIED,888
889,MALIGNANT NEOPLASM OF GALLBLADDER,889
890,MALIGNANT NEOPLASM EXTRAHEPATIC BILE DUCT,890
891,MALIGNANT NEOPLASM AMPULLA OF VATER,891
892,MALIGNANT NEOPLASM OVERLAPPING LESION OF BILIARY TRACT,892
893,MALIGNANT NEOPLASM BILIARY TRACT UNSPECIFIED,893
894,MALIGNANT NEOPLASM HEAD OF PANCREAS,894
895,MALIGNANT NEOPLASM BODY OF PANCREAS,895
896,MALIGNANT NEOPLASM TAIL OF PANCREAS,896
897,MALIGNANT NEOPLASM PANCREATIC DUCT,897
898,MALIGNANT NEOPLASM ENDOCRINE PANCREAS,898
899,MALIGNANT NEOPLASM OTHER PARTS OF PANCREAS,899
900,MALIGNANT NEOPLASM OVERLAPPING LESION OF PANCREAS,900
901,MALIGNANT NEOPLASM PANCREAS UNSPECIFIED,901
902,MALIGNANT NEOPLASM INTESTINAL TRACT PART UNSPECIFIED,902
903,MALIGNANT NEOPLASM SPLEEN,903
904,MALIGNANT NEOPLASM OVERLAPPING LESION OF DIGESTIVE SYSTEM,904
905,MALIGNANT NEOPLASM ILL DEFINED SITES WITHIN THE DIGESTIVE SYSTEM,905
906,MALIGNANT NEOPLASM NASAL CAVITY,906
907,MALIGNANT NEOPLASM MIDDLE EAR,907
908,MALIGNANT NEOPLASM MAXILLARY SINUS,908
909,MALIGNANT NEOPLASM ETHMOIDAL SINUS,909
910,MALIGNANT NEOPLASM FRONTAL SINUS,910
911,MALIGNANT NEOPLASM SPHENOIDAL SINUS,911
912,MALIGNANT NEOPLASM OVERLAPPING LESION OF ACCESSORY SINUSES,912
